gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
8,Villupuram,Mugaiyur,97,97,0,2,0,1,1,0,1,1
8,Villupuram,Murukkeri,537,537,0,2,0,1,1,0,1,1
8,Villupuram,Olakkur,9,9,0,2,0,1,1,0,1,1
35,Kallakurichi,Pudupettai,2,2,0,2,0,1,1,0,1,0
8,Villupuram,Puranasingupalayam,46,46,0,1,0,0,1,0,0,1
8,Villupuram,Radhapuram,161,161,0,2,0,1,1,0,0,1
8,Villupuram,Rampakkam,1,1,0,1,0,0,1,0,0,1
35,Kallakurichi,Rishivandiyam,91,91,0,2,0,1,1,0,1,1
8,Villupuram,Sathiyamangalam,26,26,0,1,0,0,1,0,0,0
8,Villupuram,Siruvanthadu,21,21,0,2,0,1,1,0,1,1
